wordID,word,pos,definition
70,action,n.,"A process or condition of acting or moving, as opposed to rest"
71,active,a.,Having the power or quality of acting
72,actively,adv.,In an active manner
73,activities,pl. ,of Activity
74,activity,n.,The state or quality of being active
75,actor,n.,"One who acts, or takes part in any affair"
76,actress,n.,A female actor or doer
77,actual,a.,Involving or comprising action
78,actually,adv.,Actively
79,acute,a.,Sharp at the end
80,adam,n.,"The name given in the Bible to the first man, the progenitor of the human race"
81,adapted,imp. & p. p.,of Adapt
82,adaptation,n.,"The act or process of adapting, or fitting"
83,adapter,n.,One who adapts
84,adaptive,a.,"Suited, given, or tending, to adaptation"
85,added,imp. & p. p.,of Add
86,adding,p. pr. & vb. n.,of Add
87,add,v. t.,To give by way of increased possession (to any one)
88,addiction,n.,The state of being addicted
89,addition,n.,The act of adding two or more things together
90,additional,a.,Added
91,additionally,adv.,By way of addition
92,addressed,imp. & p. p.,of Address
93,addressing,p. pr. & vb. n.,of Address
94,address,v.,To aim
95,adequate,a.,Equal to some requirement
96,adjacent,a.,"Lying near, close, or contiguous"
97,adjusted,imp. & p. p.,of Adjust
98,adjust,v. t.,To make exact
99,adjustable,a.,Capable of being adjusted
100,adjustment,n.,"The act of adjusting, or condition of being adjusted"
101,administered,imp. & p. p.,of Administer
102,administration,n.,The act of administering
103,administrative,a.,Pertaining to administration
104,administrator,n.,One who administers affairs
105,admission,n.,The act or practice of admitting
106,admitted,imp. & p. p.,of Admit
107,admit,v. t.,To suffer to enter
108,adobe,n.,An unburnt brick dried in the sun
109,adolescent,a.,Growing
110,adopted,imp. & p. p.,of Adopt
111,adopt,v. t.,"To take by choice into relationship, as, child, heir, friend, citizen, etc"
112,adoption,n.,"The act of adopting, or state of being adopted"
113,adrian,a.,Pertaining to the Adriatic Sea
114,adult,a.,"Having arrived at maturity, or to full size and strength"
115,advanced,imp. & p. p.,of Advance
116,advance,v. t.,To bring forward
117,advancement,v. t.,"The act of advancing, or the state of being advanced"
118,advantage,n.,"Any condition, circumstance, opportunity, or means, particularly favorable to success, or to any desired end"
119,adventure,n.,That which happens without design
120,adverse,a.,"Acting against, or in a contrary direction"
121,advert,v. i.,To turn the mind or attention
122,advertising,p. pr. & vb. n.,of Advertise
123,advertise,v. t.,To give notice to
124,advertisement,n.,The act of informing or notifying
125,advertiser,n.,"One who, or that which, advertises"
126,advice,n.,"An opinion recommended or offered, as worthy to be followed"
127,advised,imp. & p. p.,of Advise
128,advise,v. t.,To give advice to
129,advisory,a.,Having power to advise
130,advocacy,n.,The act of pleading for or supporting
131,advocate,n.,One who pleads the cause of another
132,ae,0,Alt
133,aerial,a.,"Of or pertaining to the air, or atmosphere"
134,affair,n.,That which is done or is to be done
135,affected,imp. & p. p.,of Affect
136,affecting,p. pr. & vb. n.,of Affect
137,affect,v. t.,To act upon
138,affiliated,imp. & p. p.,of Affiliate
139,affiliate,v. t.,To adopt
140,affiliation,n.,Adoption
141,afford,v. t.,To give forth
142,affordable,a.,That may be afforded
143,afraid,p. a.,Impressed with fear or apprehension
144,african,a.,Of or pertaining to Africa
145,after,a.,Next
146,afternoon,n.,"The part of the day which follows noon, between noon and evening"
147,afterwards,adv.,Alt
148,again,adv.,"In return, back"
149,against,prep.,Abreast
150,age,n.,"The whole duration of a being, whether animal, vegetable, or other kind"
151,aged,imp. & p. p.,of Age
152,aging,p. pr. & vb. n.,of Age
153,agencies,pl. ,of Agency
154,agency,n.,The faculty of acting or of exerting power
155,agenda,pl. ,of Agendum
156,agent,a.,Acting
157,aggregate,v. t.,To bring together
158,aggressive,a.,Tending or disposed to aggress
159,ago,a. & adv.,Past
160,agree,adv.,In good part
161,agreed,imp. & p. p.,of Agree
162,agreement,n.,State of agreeing
163,agricultural,a.,Of or pertaining to agriculture
164,agriculture,n.,"The art or science of cultivating the ground, including the harvesting of crops, and the rearing and management of live stock"
165,ah,interj.,"An exclamation, expressive of surprise, pity, complaint, entreaty, contempt, threatening, delight, triumph, etc"
166,ahead,adv.,In or to the front
167,ai,n.,The three-toed sloth (Bradypus tridactylus) of South America
168,aid,v. t.,"To support, either by furnishing strength or means in cooperation to effect a purpose, or to prevent or to remove evil"
169,aimed,imp. & p. p.,of Aim
170,aim,v. i.,"To point or direct a missile weapon, or a weapon which propels as missile, towards an object or spot with the intent of hitting it"
171,air,n.,"The fluid which we breathe, and which surrounds the earth"
172,al,a.,All
173,ala,n.,"A winglike organ, or part"
174,alan,n.,A wolfhound
175,alarm,n.,"A summons to arms, as on the approach of an enemy"
176,album,n.,"A white tablet on which anything was inscribed, as a list of names, etc"
177,alcohol,n.,An impalpable powder
178,alert,a.,Watchful
179,algebra,n.,That branch of mathematics which treats of the relations and properties of quantity by means of letters and other symbols
180,algorithm,n.,The art of calculating by nine figures and zero
181,alias,adv.,Otherwise
182,alien,a.,"Not belonging to the same country, land, or government, or to the citizens or subjects thereof"
183,align,v. t.,To adjust or form to a line
184,alignment,n.,The act of adjusting to a line
185,alike,a.,Having resemblance or similitude
186,alive,a.,"Having life, in opposition to dead"
187,all,a.,"The whole quantity, extent, duration, amount, quality, or degree of"
188,allah,n.,"The name of the Supreme Being, in use among the Arabs and the Mohammedans generally"
189,alleged,imp. & p. p.,of Allege
190,alliance,n.,The state of being allied
191,allied,a.,United
192,allocation,n.,The act of putting one thing to another
193,allowed,imp. & p. p.,of Allow
194,allowing,p. pr. & vb. n.,of Allow
195,allow,v. t.,To praise
196,allowance,n.,Approval
197,alloy,v. t.,Any combination or compound of metals fused together
198,almost,adv.,Nearly
199,alone,a.,Quite by one's self
200,along,adv.,By the length
201,alpha,n.,"The first letter in the Greek alphabet, answering to A, and hence used to denote the beginning"
202,alphabetical,a.,"Pertaining to, furnished with, expressed by, or in the order of, the letters of the alphabet"
203,alpine,a.,"Of or pertaining to the Alps, or to any lofty mountain"
204,already,adv.,"Prior to some specified time, either past, present, or future"
205,also,adv. & conj.,In like manner
206,alt,a. & n.,The higher part of the scale
207,altered,imp. & p. p.,of Alter
208,alter,v. t.,To make otherwise
209,alternate,a.,Being or succeeding by turns
210,alternative,a.,Offering a choice of two things
211,alternatively,adv.,"In the manner of alternatives, or that admits the choice of one out of two things"
212,although,conj.,Grant all this
213,alto,n.,"Formerly the part sung by the highest male, or counter-tenor, voices"
214,aluminium,n.,The metallic base of alumina
215,aluminum,n.,See Aluminium
216,alumni,pl. ,of Alumnus
217,always,adv.,At all times
218,am,0,"The first person singular of the verb be, in the indicative mode, present tense"
219,amateur,n.,"A person attached to a particular pursuit, study, or science as to music or painting"
220,amazing,p. pr. & vb. n.,of Amaze
221,amazon,n.,One of a fabulous race of female warriors in Scythia
222,ambassador,n.,Alt
223,amber,n.,"A yellowish translucent resin resembling copal, found as a fossil in alluvial soils, with beds of lignite, or on the seashore in many places"
224,ambient,a.,Encompassing on all sides
225,amended,imp. & p. p.,of Amend
226,amend,v. t.,To change or modify in any way for the better
227,amendment,n.,An alteration or change for the better
228,amenities,pl. ,of Amenity
229,american,a.,Of or pertaining to America
230,among,prep.,Alt
231,amongst,prep.,Mixed or mingled
232,amount,n.,To go up
233,amplifier,n.,One who or that which amplifies
234,amy,n.,A friend
235,an,0,"This word is properly an adjective, but is commonly called the indefinite article"
236,ana,adv.,Of each
237,anal,a.,"Pertaining to, or situated near, the anus"
238,analyses,pl. ,of Analysis
239,analysis,n.,"A resolution of anything, whether an object of the senses or of the intellect, into its constituent or original elements"
240,analyst,n.,One who analyzes
241,analytical,a.,Of or pertaining to analysis
242,analyzed,imp. & p. p.,of Analyze
243,analyze,v. t.,To subject to analysis
244,anatomy,n.,"The art of dissecting, or artificially separating the different parts of any organized body, to discover their situation, structure, and economy"
245,anchor,n.,"A iron instrument which is attached to a ship by a cable (rope or chain), and which, being cast overboard, lays hold of the earth by a fluke or hook and thus retains the ship in a particular station"
246,ancient,a.,Old
247,and,conj.,A particle which expresses the relation of connection or addition
248,angel,n.,A messenger
249,anger,n.,Trouble
250,angle,n.,The inclosed space near the point where two lines meet
251,angola,n.,A fabric made from the wool of the Angora goat
252,angry,superl.,Troublesome
253,animal,n.,"An organized living being endowed with sensation and the power of voluntary motion, and also characterized by taking its food into an internal cavity or stomach for digestion"
254,animated,imp. & p. p.,of Animate
255,animation,n.,"The act of animating, or giving life or spirit"
256,anime,a.,Of a different tincture from the animal itself
257,ann,n.,Alt
258,anna,n.,"An East Indian money of account, the sixteenth of a rupee, or about 2/ cents"
259,annex,v. t.,To join or attach
260,anniversary,a.,"Returning with the year, at a stated time"
261,annotated,imp. & p. p.,of Annotate
262,annotation,n.,"A note, added by way of comment, or explanation"
263,announced,imp. & p. p.,of Announce
264,announce,v. t.,"To give public notice, or first notice of"
265,announcement,n.,"The act of announcing, or giving notice"
266,annoying,p. pr. & vb. n.,of Annoy
267,annual,a.,Of or pertaining to a year
268,annually,adv.,Yearly
269,anonymous,a.,Nameless
270,another,pron. & a.,"One more, in addition to a former number"
271,answered,imp. & p. p.,of Answer
272,answering,p. pr. & vb. n.,of Answer
273,answer,n.,To speak in defense against
274,ant,n.,"A hymenopterous insect of the Linnaean genus Formica, which is now made a family of several genera"
275,antenna,n.,"A movable, articulated organ of sensation, attached to the heads of insects and Crustacea"
276,anthropology,n.,The science of the structure and functions of the human body
277,anti,0,"A prefix meaning against, opposite or opposed to, contrary, or in place of"
278,anticipated,imp. & p. p.,of Anticipate
279,antique,a.,Old
280,anxiety,n.,"Concern or solicitude respecting some thing or event, future or uncertain, which disturbs the mind, and keeps it in a state of painful uneasiness"
281,any,a. & pron.,"One indifferently, out of an indefinite number"
282,anybody,n.,Any one out of an indefinite number of persons
283,anyone,n.,One taken at random rather than by selection
284,anything,n.,"Any object, act, state, event, or fact whatever"
285,anyway,adv.,Alt
286,anywhere,adv.,In any place
287,apart,adv.,"Separately, in regard to space or company"
288,apartment,n.,A room in a building
289,apollo,n.,A deity among the Greeks and Romans
290,apparatus,pl. ,of Apparatus
291,apparel,n.,External clothing
292,apparent,a.,"Capable of being seen, or easily seen"
293,apparently,adv.,Visibly
294,appeal,v. t.,To make application for the removal of (a cause) from an inferior to a superior judge or court for a rehearing or review on account of alleged injustice or illegality in the trial below
295,appeared,imp. & p. p.,of Appear
296,appearing,p. pr. & vb. n.,of Appear
297,appear,v. i.,To come or be in sight
298,appearance,n.,The act of appearing or coming into sight
299,appendix,n.,Something appended or added
300,apple,n.,The fleshy pome or fruit of a rosaceous tree (Pyrus malus) cultivated in numberless varieties in the temperate zones
301,appliance,n.,The act of applying
302,applicable,a.,Capable of being applied
303,applicant,n.,One who apples for something
304,application,n.,"The act of applying or laying on, in a literal sense"
305,applied,imp. & p. p.,of Apply
306,applying,p. pr. & vb. n.,of Apply
307,apply,v. t.,To lay or place
308,appointed,imp. & p. p.,of Appoint
309,appointment,n.,The act of appointing
310,appraisal,n.,A valuation by an authorized person
311,appreciated,imp. & p. p.,of Appreciate
312,appreciate,v. t.,To set a price or value on
313,appreciation,n.,"A just valuation or estimate of merit, worth, weight, etc"
314,approach,v. i.,"To come or go near, in place or time"
315,appropriate,a.,Set apart for a particular use or person
316,approval,n.,Approbation
317,approved,imp. & p. p.,of Approve
318,approve,v. t.,To show to be real or true
319,approximate,a.,Approaching
320,approximately,adv.,With approximation
321,april,n.,The fourth month of the year
322,apt,a.,Fit or fitted
323,aqua,n.,Water
324,aquarium,n.,"An artificial pond, or a globe or tank (usually with glass sides), in which living specimens of aquatic animals or plants are kept"
325,aquatic,a.,Pertaining to water
326,ar,conj.,Ere
327,arab,n.,"One of a swarthy race occupying Arabia, and numerous in Syria, Northern Africa, etc"
328,arabic,a.,Of or pertaining to Arabia or the Arabians
329,arbitrary,a.,Depending on will or discretion
330,arbitration,n.,"The hearing and determination of a cause between parties in controversy, by a person or persons chosen by the parties"
331,arbor,n.,"A kind of latticework formed of, or covered with, vines, branches of trees, or other plants, for shade"
332,arc,n.,A portion of a curved line
333,arcade,n.,"A series of arches with the columns or piers which support them, the spandrels above, and other necessary appurtenances"
334,arch,n.,Any part of a curved line
335,architect,n.,A person skilled in the art of building
336,architectural,a.,Of or pertaining to the art of building
337,architecture,n.,The art or science of building
338,archives,pl. ,of Archive
339,archive,n.,The place in which public records or historic documents are kept
340,arctic,a.,"Pertaining to, or situated under, the northern constellation called the Bear"
341,are,0,The present indicative plural of the substantive verb to be
342,areas,pl. ,of Area
343,area,n.,"Any plane surface, as of the floor of a room or church, or of the ground within an inclosure"
344,arena,n.,"The area in the central part of an amphitheater, in which the gladiators fought and other shows were exhibited"
345,argued,imp. & p. p.,of Argue
346,argue,v. i.,"To invent and offer reasons to support or overthrow a proposition, opinion, or measure"
347,argument,n.,Proof
348,arising,p. pr. & vb. n.,of Arise
349,arise,v. i.,To come up from a lower to a higher position
350,arm,n.,The limb of the human body which extends from the shoulder to the hand
351,armed,imp. & p. p.,of Arm
352,armor,n.,Defensive arms for the body
353,arms,n.,Instruments or weapons of offense or defense
354,army,n.,"A collection or body of men armed for war, esp"
355,around,adv.,In a circle
356,arranged,imp. & p. p.,of Arrange
357,arrange,v. t.,To put in proper order
358,arrangement,n.,The act of arranging or putting in an orderly condition
359,array,n.,Order
360,arrested,imp. & p. p.,of Arrest
361,arrest,v. t.,To stop
362,arrival,n.,"The act of arriving, or coming"
363,arrived,imp. & p. p.,of Arrive
364,arrive,v. i.,To come to the shore or bank
365,arrow,n.,"A missile weapon of offense, slender, pointed, and usually feathered and barbed, to be shot from a bow"
366,art,0,"The second person singular, indicative mode, present tense, of the substantive verb Be"
367,arthritis,n.,"Any inflammation of the joints, particularly the gout"
368,article,n.,"A distinct portion of an instrument, discourse, literary work, or any other writing, consisting of two or more particulars, or treating of various topics"
369,artificial,a.,Made or contrived by art
370,artist,n.,One who practices some mechanic art or craft
371,artistic,a.,Alt
372,as,adv. & conj.,"Denoting equality or likeness in kind, degree, or manner"
373,asbestos,n.,"A variety of amphibole or of pyroxene, occurring in long and delicate fibers, or in fibrous masses or seams, usually of a white, gray, or green-gray color"
374,ascii,n. pl.,Alt
375,ash,n.,"A genus of trees of the Olive family, having opposite pinnate leaves, many of the species furnishing valuable timber, as the European ash (Fraxinus excelsior) and the white ash (F"
376,asian,a.,Of or pertaining to Asia
377,aside,adv.,"On, or to, one side"
378,asked,imp. & p. p.,of Ask
379,asking,p. pr. & vb. n.,of Ask
380,ask,v. t.,To request
381,asp,n.,Same as Aspen
382,aspect,n.,The act of looking
383,ass,n.,A quadruped of the genus Equus (E
384,assault,n.,"A violent onset or attack with physical means, as blows, weapons, etc"
385,assembled,imp. & p. p.,of Assemble
386,assembly,n.,"A company of persons collected together in one place, and usually for some common purpose, esp"
387,assessed,imp. & p. p.,of Assess
388,assessing,p. pr. & vb. n.,of Assess
389,assess,v.,To value
390,assessment,n.,The act of assessing
391,asset,n.,Any article or separable part of one's assets
392,assets,n. pl.,"Property of a deceased person, subject by law to the payment of his debts and legacies"
393,assigned,imp. & p. p.,of Assign
394,assign,v. t.,To appoint
395,assignment,n.,An allotting or an appointment to a particular person or use
396,assisted,imp. & p. p.,of Assist
397,assist,v. t.,"To give support to in some undertaking or effort, or in time of distress"
398,assistance,n.,The act of assisting
399,assistant,a.,Helping
400,associated,imp. & p. p.,of Associate
401,associate,v. t.,"To join with one, as a friend, companion, partner, or confederate"
402,association,n.,"The act of associating, or state of being associated"
403,assumed,imp. & p. p.,of Assume
404,assuming,p. pr. & vb. n.,of Assume
405,assume,v. t.,To take to or upon one's self
406,assumption,n.,"The act of assuming, or taking to or upon one's self"
407,assurance,n.,The act of assuring
408,assured,imp. & p. p.,of Assure
409,assure,v. t.,To make sure or certain
410,asthma,n.,"A disease, characterized by difficulty of breathing (due to a spasmodic contraction of the bronchi), recurring at intervals, accompanied with a wheezing sound, a sense of constriction in the chest, a cough, and expectoration"
411,astrology,n.,"In its etymological signification, the science of the stars"
412,astronomy,n.,Astrology
413,asylum,n.,"A sanctuary or place of refuge and protection, where criminals and debtors found shelter, and from which they could not be forcibly taken without sacrilege"
414,at,prep.,"Primarily, this word expresses the relations of presence, nearness in place or time, or direction toward"
415,ate,0,the preterit of Eat
416,athletic,a.,Of or pertaining to athletes or to the exercises practiced by them
417,athletics,n.,The art of training by athletic exercises
418,atlanta,n.,A genus of small glassy heteropod mollusks found swimming at the surface in mid ocean
419,atlantic,a.,Of or pertaining to Mt
420,atlas,n.,One who sustains a great burden
421,atmosphere,n.,The whole mass of aeriform fluid surrounding the earth
422,atmospheric,a.,Alt
423,atom,n.,An ultimate indivisible particle of matter
424,atomic,a.,Alt
425,attached,imp. & p. p.,of Attach
426,attach,v. t.,"To bind, fasten, tie, or connect"
427,attachment,n.,"The act attaching, or state of being attached"
428,attacked,imp. & p. p.,of Attack
429,attack,v. t.,To fall upon with force
430,attempted,imp. & p. p.,of Attempt
431,attempting,p. pr. & vb. n.,of Attempt
432,attempt,v. t.,To make trial or experiment of
433,attended,imp. & p. p.,of Attend
434,attending,p. pr. & vb. n.,of Attend
435,attend,v. t.,To direct the attention to
436,attendance,v. t.,Attention
437,attention,n.,The act or state of attending or heeding
438,attitude,n.,"The posture, action, or disposition of a figure or a statue"
439,attorneys,pl. ,of Attorney
440,attorney,n.,A substitute
441,attract,v. t.,"To draw to, or cause to tend to"
442,attraction,n.,An invisible power in a body by which it draws anything to itself
443,attractive,a.,Having the power or quality of attracting or drawing
444,attribute,v. t.,To ascribe
445,auburn,a.,Flaxen-colored
446,auction,n.,"A public sale of property to the highest bidder, esp"
447,audience,a.,The act of hearing
448,audit,a.,An audience
449,auditor,a.,A hearer or listener
450,august,a.,Of a quality inspiring mingled admiration and reverence
451,aurora,n.,The rising light of the morning
452,austin,a.,Augustinian
453,australian,a.,Of or pertaining to Australia
454,authentic,n.,"Having a genuine original or authority, in opposition to that which is false, fictitious, counterfeit, or apocryphal"
455,author,n.,"The beginner, former, or first mover of anything"
456,authorities,pl. ,of Authority
457,authority,n.,Legal or rightful power
458,authorization,n.,The act of giving authority or legal power
459,authorized,imp. & p. p.,of Authorize
460,automatic,a.,Alt
461,automatically,adv.,In an automatic manner
462,autumn,n.,"The third season of the year, or the season between summer and winter, often called ""the fall"
463,availability,n.,The quality of being available
464,available,a.,"Having sufficient power, force, or efficacy, for the object"
465,avatar,n.,"The descent of a deity to earth, and his incarnation as a man or an animal"
466,ave,n.,An ave Maria
467,avenue,n.,A way or opening for entrance into a place
468,average,n.,"That service which a tenant owed his lord, to be done by the work beasts of the tenant, as the carriage of wheat, turf, etc"
469,aviation,n.,The art or science of flying
470,avoiding,p. pr. & vb. n.,of Avoid
471,avoid,a.,To empty
472,awarded,imp. & p. p.,of Award
473,award,v. t.,To give by sentence or judicial determination
474,aware,a.,Watchful
475,away,adv.,From a place
476,awesome,a.,Causing awe
477,awful,a.,Oppressing with fear or horror
478,axis,n.,"The spotted deer (Cervus axis or Axis maculata) of India, where it is called hog deer and parrah (Moorish name)"
479,aye,adv.,Alt
480,b,0,is the second letter of the English alphabet
481,ba,v. i.,To kiss
482,babe,n.,An infant
483,babies,pl. ,of Baby
484,baby,n.,An infant or young child of either sex
485,bachelor,n.,A man of any age who has not been married
486,back,n.,A large shallow vat
487,backed,imp. & p. p.,of Back
488,backing,p. pr. & vb. n.,of Back
489,background,n.,"Ground in the rear or behind, or in the distance, as opposed to the foreground, or the ground in front"
490,bacon,n.,The back and sides of a pig salted and smoked
491,bacteria,n.p.,See Bacterium
492,bacterial,a.,Of or pertaining to bacteria
493,bad,imp.,Bade
494,badge,n.,"A distinctive mark, token, sign, or cognizance, worn on the person"
495,badly,adv.,In a bad manner
496,bag,n.,"A sack or pouch, used for holding anything"
497,bailey,n.,The outer wall of a feudal castle
498,baking,p. pr. & vb. n.,of Bake
499,baker,v. i.,"One whose business it is to bake bread, biscuit, etc"
500,balance,n.,An apparatus for weighing
501,balanced,imp. & p. p.,of Balance
502,bald,a.,"Destitute of the natural or common covering on the head or top, as of hair, feathers, foliage, trees, etc"
503,ball,n.,Any round or roundish body or mass
504,ballet,n.,"An artistic dance performed as a theatrical entertainment, or an interlude, by a number of persons, usually women"
505,balloon,n.,"A bag made of silk or other light material, and filled with hydrogen gas or heated air, so as to rise and float in the atmosphere"
506,ballot,n.,"Originally, a ball used for secret voting"
507,ban,n.,A public proclamation or edict
508,banned,imp. & p. p.,of Ban
509,banana,n.,A perennial herbaceous plant of almost treelike size (Musa sapientum)
510,bank,n.,A bench
511,band,v. t.,"A fillet, strap, or any narrow ligament with which a thing is encircled, or fastened, or by which a number of things are tied, bound together, or confined"
512,bang,v. t.,"To beat, as with a club or cudgel"
513,banking,p. pr. & vb. n.,of Bank
514,bankruptcy,n.,The state of being actually or legally bankrupt
515,banner,n.,"A kind of flag attached to a spear or pike by a crosspiece, and used by a chief as his standard in battle"
516,baptist,n.,One who administers baptism
517,bar,n.,"A piece of wood, metal, or other material, long in proportion to its breadth or thickness, used as a lever and for various other purposes, but especially for a hindrance, obstruction, or fastening"
518,barbados,n.,Alt
519,barbara,n.,The first word in certain mnemonic lines which represent the various forms of the syllogism
520,bare,a.,Without clothes or covering
521,barely,adv.,Without covering
522,bargain,n.,An agreement between parties concerning the sale of property
523,barn,n.,"A covered building used chiefly for storing grain, hay, and other productions of a farm"
524,barrel,n.,"A round vessel or cask, of greater length than breadth, and bulging in the middle, made of staves bound with hoops, and having flat ends or heads"
525,barrier,n.,"A carpentry obstruction, stockade, or other obstacle made in a passage in order to stop an enemy"
526,barry,a.,Divided into bars
527,base,a.,"Of little, or less than the usual, height"
528,based,imp. & p. p.,of Base
529,baseball,n.,"A game of ball, so called from the bases or bounds ( four in number) which designate the circuit which each player must endeavor to make after striking the ball"
530,basement,a.,"The outer wall of the ground story of a building, or of a part of that story, when treated as a distinct substructure"
531,basic,a.,Relating to a base
532,basin,n.,"A hollow vessel or dish, to hold water for washing, and for various other uses"
533,bases,pl. ,of Basis
534,basis,n.,The foundation of anything
535,basket,n.,"A vessel made of osiers or other twigs, cane, rushes, splints, or other flexible material, interwoven"
536,bass,pl. ,of Bass
537,bat,n.,A large stick
538,batch,v. t.,The quantity of bread baked at one time
539,baths,pl. ,of Bath
540,bath,n.,"The act of exposing the body, or part of the body, for purposes of cleanliness, comfort, health, etc"
541,batman,n.,"A weight used in the East, varying according to the locality"
542,batteries,pl. ,of Battery
543,battery,v. t.,The act of battering or beating
544,battle,a.,Fertile
545,bay,a.,Reddish brown
546,was,imp.,of Be
547,been,p. p.,of Be
548,being,p. pr. & vb. n.,of Be
549,be,v. i.,"To exist actually, or in the world of fact"
550,beaches,pl. ,of Beach
551,beach,n.,"Pebbles, collectively"
552,beam,n.,"Any large piece of timber or iron long in proportion to its thickness, and prepared for use"
553,bean,n.,"A name given to the seed of certain leguminous herbs, chiefly of the genera Faba, Phaseolus, and Dolichos"
554,born,p. p.,of Bear
555,bearing,p. pr. & vb. n.,of Bear
556,bear,v. t.,To support or sustain
557,beast,n.,Any living creature
558,beat,imp.,of Beat
559,beautiful,a.,Having the qualities which constitute beauty
560,beauty,n.,"An assemblage or graces or properties pleasing to the eye, the ear, the intellect, the aesthetic faculty, or the moral sense"
561,beaver,n.,"An amphibious rodent, of the genus Castor"
562,became,0,imp
563,because,conj.,By or for the cause that
564,become,p. p.,of Become
565,becoming,p. pr. & vb. n.,of Become
566,bed,n.,An article of furniture to sleep or take rest in or on
567,bedding,p. pr. & vb. n.,of Bed
568,bedroom,n.,A room or apartment intended or used for a bed
569,bee,0,p
570,beef,n.,"An animal of the genus Bos, especially the common species, B"
571,beer,n.,"A fermented liquor made from any malted grain, but commonly from barley malt, with hops or some other substance to impart a bitter flavor"
572,before,prep.,In front of
573,began,imp. & p. p.,of Begin
574,begun,0,of Begin
575,beginning,p. pr. & vb. n.,of Begin
576,begin,v. i.,To have or commence an independent or first existence
577,beginner,n.,One who begins or originates anything
578,behalf,n.,Advantage
579,behavior,n.,"Manner of behaving, whether good or bad"
580,behind,a.,On the side opposite the front or nearest part
581,belief,n.,"Assent to a proposition or affirmation, or the acceptance of a fact, opinion, or assertion as real or true, without immediate personal knowledge"
582,believed,imp. & p. p.,of Believe
583,believe,n.,To exercise belief in
584,bell,n.,"A hollow metallic vessel, usually shaped somewhat like a cup with a flaring mouth, containing a clapper or tongue, and giving forth a ringing sound on being struck"
585,belle,n.,A young lady of superior beauty and attractions
586,belly,n.,"That part of the human body which extends downward from the breast to the thighs, and contains the bowels, or intestines"
587,belong,v. i.,To be the property of
588,below,prep.,"Under, or lower in place"
589,belt,n.,That which engirdles a person or thing
590,ben,0,Alt
